RoadAccidents055_x264: [('RoadAccidents', 0.43554), ('Normal_Videos_', 0.3565933), ('Burglary', 0.3013699), ('Arrest', 0.26540253), ('Vandalism', 0.260983), ('Assault', 0.22866982), ('Arson', 0.22718191), ('Robbery', 0.20958203), ('Explosion', 0.20549235), ('Shooting', 0.19854407), ('Shoplifting', 0.19177486), ('Fighting', 0.16508517), ('Stealing', 0.16344367), ('Abuse', 0.14400446)]
RoadAccidents100_x264: [('RoadAccidents', 0.54980004), ('Shoplifting', 0.24519007), ('Burglary', 0.24382228), ('Arrest', 0.24074605), ('Robbery', 0.23599306), ('Stealing', 0.2317287), ('Assault', 0.22651097), ('Normal_Videos_', 0.22575897), ('Explosion', 0.2236121), ('Shooting', 0.22198457), ('Vandalism', 0.21975762), ('Arson', 0.1973003), ('Fighting', 0.18641108), ('Abuse', 0.16356301)]
RoadAccidents137_x264: [('RoadAccidents', 0.36014977), ('Arson', 0.22937284), ('Burglary', 0.22885029), ('Normal_Videos_', 0.22565873), ('Stealing', 0.1896669), ('Vandalism', 0.17473468), ('Shoplifting', 0.1745534), ('Robbery', 0.16371863), ('Explosion', 0.1632447), ('Shooting', 0.16136658), ('Arrest', 0.15604436), ('Assault', 0.10978458), ('Fighting', 0.10685711), ('Abuse', 0.081259534)]
RoadAccidents088_x264: [('RoadAccidents', 0.4280643), ('Normal_Videos_', 0.21725017), ('Arrest', 0.18524781), ('Fighting', 0.18181494), ('Explosion', 0.1680052), ('Assault', 0.16087136), ('Arson', 0.15778953), ('Shooting', 0.1496459), ('Shoplifting', 0.14867456), ('Burglary', 0.120099396), ('Vandalism', 0.11548132), ('Stealing', 0.10555133), ('Abuse', 0.0879137), ('Robbery', 0.083383515)]
RoadAccidents124_x264: [('RoadAccidents', 0.44668534), ('Normal_Videos_', 0.28431275), ('Explosion', 0.2629487), ('Shooting', 0.23999414), ('Arson', 0.23704371), ('Vandalism', 0.21028045), ('Fighting', 0.19526535), ('Burglary', 0.18510924), ('Arrest', 0.1842872), ('Shoplifting', 0.16347626), ('Stealing', 0.16108014), ('Assault', 0.1568793), ('Robbery', 0.14271115), ('Abuse', 0.12897149)]
RoadAccidents134_x264: [('RoadAccidents', 0.44855317), ('Normal_Videos_', 0.22951706), ('Shoplifting', 0.20381978), ('Stealing', 0.19883968), ('Shooting', 0.19422202), ('Vandalism', 0.18496847), ('Burglary', 0.1846998), ('Robbery', 0.18083327), ('Arson', 0.17993727), ('Arrest', 0.16590503), ('Explosion', 0.14279969), ('Fighting', 0.10694341), ('Assault', 0.097588696), ('Abuse', 0.077680685)]
RoadAccidents120_x264: [('Normal_Videos_', 0.32622707), ('RoadAccidents', 0.25418013), ('Burglary', 0.23715183), ('Arrest', 0.18684092), ('Robbery', 0.17236337), ('Stealing', 0.16726892), ('Shoplifting', 0.16203715), ('Shooting', 0.1526939), ('Assault', 0.126859), ('Explosion', 0.12068485), ('Vandalism', 0.12049581), ('Fighting', 0.119461), ('Arson', 0.115994625), ('Abuse', 0.110569865)]
RoadAccidents079_x264: [('RoadAccidents', 0.21842451), ('Arrest', 0.21225414), ('Arson', 0.18073553), ('Normal_Videos_', 0.134493), ('Abuse', 0.13069466), ('Burglary', 0.12632114), ('Explosion', 0.12033269), ('Robbery', 0.117838174), ('Fighting', 0.116644874), ('Shooting', 0.11382644), ('Vandalism', 0.11036713), ('Shoplifting', 0.105388336), ('Stealing', 0.09068361), ('Assault', 0.07926237)]
RoadAccidents076_x264: [('RoadAccidents', 0.5036864), ('Explosion', 0.2988101), ('Arson', 0.29397112), ('Vandalism', 0.2762578), ('Shooting', 0.23612984), ('Arrest', 0.23161106), ('Burglary', 0.22841118), ('Shoplifting', 0.20322472), ('Robbery', 0.1970964), ('Normal_Videos_', 0.196495), ('Assault', 0.19470134), ('Stealing', 0.17660858), ('Abuse', 0.17050585), ('Fighting', 0.11919046)]
RoadAccidents092_x264: [('RoadAccidents', 0.47992775), ('Burglary', 0.26696998), ('Arson', 0.2500518), ('Stealing', 0.21992528), ('Shoplifting', 0.21612673), ('Shooting', 0.20489255), ('Normal_Videos_', 0.20222858), ('Vandalism', 0.18808293), ('Arrest', 0.18001541), ('Explosion', 0.16981925), ('Robbery', 0.16038288), ('Fighting', 0.15061285), ('Assault', 0.14827108), ('Abuse', 0.12767419)]
RoadAccidents010_x264: [('RoadAccidents', 0.4174613), ('Arrest', 0.2983052), ('Burglary', 0.29223612), ('Vandalism', 0.28875107), ('Normal_Videos_', 0.27818656), ('Arson', 0.26658797), ('Explosion', 0.25431946), ('Stealing', 0.24744189), ('Shoplifting', 0.24320915), ('Robbery', 0.2337002), ('Assault', 0.2164082), ('Shooting', 0.21136014), ('Abuse', 0.17499094), ('Fighting', 0.17031327)]
RoadAccidents126_x264: [('Normal_Videos_', 0.1580241), ('RoadAccidents', 0.1521064), ('Arson', 0.09084056), ('Vandalism', 0.059191823), ('Arrest', 0.05516498), ('Explosion', 0.053781364), ('Robbery', 0.03783531), ('Assault', 0.033958927), ('Fighting', 0.032828473), ('Abuse', 0.01813313), ('Shoplifting', 0.007655941), ('Stealing', 0.0038257092), ('Burglary', 0.0037990324), ('Shooting', -0.0036788117)]
RoadAccidents146_x264: [('Normal_Videos_', 0.41710377), ('Burglary', 0.28383112), ('Shoplifting', 0.27938935), ('RoadAccidents', 0.22730969), ('Robbery', 0.21436626), ('Vandalism', 0.2122648), ('Arrest', 0.18487653), ('Stealing', 0.1760839), ('Abuse', 0.17481256), ('Arson', 0.16710126), ('Shooting', 0.15152937), ('Explosion', 0.13609147), ('Assault', 0.13526367), ('Fighting', 0.095642895)]
RoadAccidents128_x264: [('RoadAccidents', 0.34238368), ('Normal_Videos_', 0.27056354), ('Shooting', 0.24873959), ('Explosion', 0.23952286), ('Arson', 0.22357567), ('Vandalism', 0.19913745), ('Stealing', 0.1862832), ('Burglary', 0.17641479), ('Fighting', 0.17404261), ('Shoplifting', 0.16265325), ('Arrest', 0.16005698), ('Robbery', 0.14882924), ('Assault', 0.14148071), ('Abuse', 0.084757574)]
RoadAccidents039_x264: [('RoadAccidents', 0.2889471), ('Burglary', 0.22016633), ('Stealing', 0.1522842), ('Shoplifting', 0.15184748), ('Shooting', 0.12388335), ('Robbery', 0.11951639), ('Vandalism', 0.11874199), ('Normal_Videos_', 0.118043646), ('Arson', 0.09704872), ('Arrest', 0.09552041), ('Assault', 0.05756852), ('Fighting', 0.056065515), ('Abuse', 0.04756865), ('Explosion', 0.028592322)]
RoadAccidents116_x264: [('RoadAccidents', 0.54490155), ('Arrest', 0.35502887), ('Burglary', 0.32280928), ('Shoplifting', 0.31847036), ('Vandalism', 0.3184171), ('Robbery', 0.31414163), ('Stealing', 0.30267867), ('Assault', 0.2908077), ('Arson', 0.25849766), ('Shooting', 0.24343376), ('Abuse', 0.23771283), ('Normal_Videos_', 0.2251319), ('Fighting', 0.21404527), ('Explosion', 0.19969168)]
RoadAccidents148_x264: [('RoadAccidents', 0.5207057), ('Burglary', 0.4133617), ('Shoplifting', 0.36812216), ('Robbery', 0.34814614), ('Normal_Videos_', 0.3418076), ('Arson', 0.34115022), ('Arrest', 0.33990487), ('Stealing', 0.31304774), ('Vandalism', 0.29544014), ('Shooting', 0.29483074), ('Assault', 0.26511133), ('Abuse', 0.23102516), ('Explosion', 0.22612248), ('Fighting', 0.19826713)]
RoadAccidents103_x264: [('RoadAccidents', 0.46381176), ('Normal_Videos_', 0.37559873), ('Burglary', 0.3024301), ('Arrest', 0.28731608), ('Shoplifting', 0.28512663), ('Vandalism', 0.26275364), ('Stealing', 0.25756627), ('Shooting', 0.25581688), ('Robbery', 0.23963557), ('Arson', 0.23203658), ('Assault', 0.22105993), ('Explosion', 0.20485213), ('Fighting', 0.20480041), ('Abuse', 0.19469546)]
RoadAccidents074_x264: [('RoadAccidents', 0.5278718), ('Normal_Videos_', 0.35348406), ('Shooting', 0.3222081), ('Arrest', 0.29865396), ('Explosion', 0.28774366), ('Burglary', 0.28058153), ('Vandalism', 0.27029565), ('Arson', 0.2657223), ('Assault', 0.26532087), ('Shoplifting', 0.24861287), ('Robbery', 0.24216273), ('Abuse', 0.23490192), ('Stealing', 0.22306031), ('Fighting', 0.19889668)]
RoadAccidents012_x264: [('RoadAccidents', 0.5054693), ('Arrest', 0.19272242), ('Normal_Videos_', 0.188396), ('Shoplifting', 0.18555953), ('Burglary', 0.18493675), ('Shooting', 0.17579526), ('Arson', 0.17308655), ('Explosion', 0.16440248), ('Stealing', 0.15647924), ('Vandalism', 0.14350343), ('Robbery', 0.14178029), ('Assault', 0.13453579), ('Fighting', 0.13213867), ('Abuse', 0.09620686)]
RoadAccidents006_x264: [('RoadAccidents', 0.35220456), ('Normal_Videos_', 0.19799751), ('Arson', 0.1819804), ('Burglary', 0.17245336), ('Shooting', 0.16219375), ('Explosion', 0.16023704), ('Shoplifting', 0.15600052), ('Stealing', 0.15147182), ('Robbery', 0.13885552), ('Arrest', 0.11913405), ('Vandalism', 0.116862655), ('Fighting', 0.07200879), ('Assault', 0.061546832), ('Abuse', 0.030534226)]
