Normal_Videos_892_x264: [('RoadAccidents', 0.40462455), ('Normal_Videos_', 0.34940612), ('Burglary', 0.28708565), ('Vandalism', 0.26138154), ('Robbery', 0.25104186), ('Arson', 0.24503651), ('Stealing', 0.23947719), ('Shooting', 0.23756456), ('Arrest', 0.2317612), ('Shoplifting', 0.22292244), ('Explosion', 0.22289418), ('Abuse', 0.17036346), ('Assault', 0.16982551), ('Fighting', 0.15574339)]
Normal_Videos_745_x264: [('Shooting', 0.23657677), ('Normal_Videos_', 0.23041147), ('Stealing', 0.17559314), ('Explosion', 0.16477707), ('Fighting', 0.15314178), ('Shoplifting', 0.14956024), ('RoadAccidents', 0.13840343), ('Burglary', 0.12733188), ('Arrest', 0.117104426), ('Assault', 0.11479804), ('Vandalism', 0.11064279), ('Arson', 0.10608761), ('Abuse', 0.09584524), ('Robbery', 0.07240647)]
Normal_Videos_656_x264: [('RoadAccidents', 0.3986131), ('Normal_Videos_', 0.2046768), ('Burglary', 0.18251747), ('Arson', 0.17598996), ('Stealing', 0.15022036), ('Shoplifting', 0.14722626), ('Shooting', 0.13651276), ('Explosion', 0.13527441), ('Vandalism', 0.13130307), ('Robbery', 0.10758813), ('Arrest', 0.092743956), ('Fighting', 0.08067693), ('Abuse', 0.07319841), ('Assault', 0.053931)]
Normal_Videos_641_x264: [('Normal_Videos_', 0.3794797), ('Shoplifting', 0.35450315), ('RoadAccidents', 0.23714614), ('Burglary', 0.2305007), ('Stealing', 0.22976714), ('Shooting', 0.22327848), ('Robbery', 0.21175906), ('Vandalism', 0.19082686), ('Fighting', 0.18978164), ('Explosion', 0.1842677), ('Assault', 0.16550708), ('Arson', 0.16132998), ('Arrest', 0.1544401), ('Abuse', 0.1479124)]
Normal_Videos_696_x264: [('RoadAccidents', 0.4493634), ('Normal_Videos_', 0.24828374), ('Shoplifting', 0.19833362), ('Burglary', 0.1872558), ('Vandalism', 0.1867915), ('Shooting', 0.18676913), ('Arson', 0.18083109), ('Arrest', 0.17198136), ('Assault', 0.1666027), ('Robbery', 0.160889), ('Fighting', 0.15852168), ('Abuse', 0.15775476), ('Stealing', 0.14732814), ('Explosion', 0.14176023)]
Normal_Videos_912_x264: [('RoadAccidents', 0.56819046), ('Arson', 0.3162244), ('Burglary', 0.2927906), ('Vandalism', 0.27874374), ('Shooting', 0.2752393), ('Shoplifting', 0.27185264), ('Stealing', 0.27135196), ('Robbery', 0.2648424), ('Explosion', 0.2642524), ('Normal_Videos_', 0.26062542), ('Arrest', 0.23050122), ('Assault', 0.21614751), ('Abuse', 0.19672947), ('Fighting', 0.1824762)]
Normal_Videos_621_x264: [('Explosion', 0.2639031), ('Normal_Videos_', 0.24505195), ('RoadAccidents', 0.23903468), ('Shooting', 0.21463072), ('Shoplifting', 0.21303585), ('Arson', 0.21021461), ('Stealing', 0.19098537), ('Burglary', 0.17907748), ('Robbery', 0.17849022), ('Vandalism', 0.14521053), ('Arrest', 0.13452315), ('Fighting', 0.10543106), ('Assault', 0.08798136), ('Abuse', 0.07313198)]
Normal_Videos_452_x264: [('RoadAccidents', 0.14853022), ('Explosion', 0.13075987), ('Arrest', 0.121860676), ('Shooting', 0.10164642), ('Vandalism', 0.10040821), ('Fighting', 0.07805983), ('Burglary', 0.07437265), ('Shoplifting', 0.074362405), ('Abuse', 0.063341334), ('Arson', 0.04026845), ('Stealing', 0.034277156), ('Normal_Videos_', 0.033153813), ('Assault', 0.025801143), ('Robbery', 0.0020346045)]
Normal_Videos_828_x264: [('RoadAccidents', 0.28138417), ('Normal_Videos_', 0.21439105), ('Arson', 0.17752373), ('Stealing', 0.16027284), ('Explosion', 0.15904894), ('Burglary', 0.15580362), ('Shoplifting', 0.15120253), ('Arrest', 0.13445166), ('Robbery', 0.13292773), ('Vandalism', 0.12220557), ('Shooting', 0.11752414), ('Abuse', 0.062478732), ('Fighting', 0.05865759), ('Assault', 0.02728638)]
Normal_Videos_704_x264: [('Normal_Videos_', 0.39189264), ('Burglary', 0.27898422), ('RoadAccidents', 0.2382111), ('Robbery', 0.20368305), ('Shoplifting', 0.20181948), ('Arrest', 0.19459218), ('Stealing', 0.18836097), ('Shooting', 0.17779802), ('Arson', 0.16189621), ('Assault', 0.16143964), ('Vandalism', 0.16067132), ('Explosion', 0.15379089), ('Abuse', 0.15120423), ('Fighting', 0.11113004)]
Normal_Videos_246_x264: [('RoadAccidents', 0.29717904), ('Normal_Videos_', 0.29454356), ('Explosion', 0.24977678), ('Arrest', 0.24311747), ('Burglary', 0.2405401), ('Vandalism', 0.23515457), ('Shoplifting', 0.22217439), ('Stealing', 0.22144979), ('Arson', 0.20721887), ('Abuse', 0.1902576), ('Shooting', 0.16439292), ('Robbery', 0.15223157), ('Fighting', 0.15080982), ('Assault', 0.14050257)]
Normal_Videos_100_x264: [('Shoplifting', 0.16724968), ('Normal_Videos_', 0.118446365), ('Burglary', 0.09631863), ('RoadAccidents', 0.08132534), ('Vandalism', 0.052832436), ('Robbery', 0.047068045), ('Stealing', 0.0325132), ('Shooting', 0.030007554), ('Explosion', 0.02760805), ('Arson', 0.015960228), ('Arrest', 0.01525751), ('Fighting', 0.011448398), ('Assault', 0.011238676), ('Abuse', -0.0032730345)]
Normal_Videos_365_x264: [('Normal_Videos_', 0.15602331), ('RoadAccidents', 0.13201874), ('Explosion', 0.10787615), ('Shoplifting', 0.103821374), ('Fighting', 0.10003114), ('Shooting', 0.09673734), ('Vandalism', 0.09280603), ('Stealing', 0.07408166), ('Burglary', 0.07005111), ('Arson', 0.062859684), ('Arrest', 0.054435637), ('Abuse', 0.049534645), ('Assault', 0.023629505), ('Robbery', -0.003429331)]
Normal_Videos_634_x264: [('RoadAccidents', 0.30061686), ('Shoplifting', 0.11322914), ('Robbery', 0.11254482), ('Shooting', 0.109304816), ('Burglary', 0.108524635), ('Arson', 0.09667201), ('Arrest', 0.09162684), ('Vandalism', 0.07477377), ('Stealing', 0.07388112), ('Explosion', 0.06512001), ('Fighting', 0.06431669), ('Normal_Videos_', 0.046542466), ('Abuse', 0.02054475), ('Assault', 0.018394224)]
Normal_Videos_317_x264: [('Normal_Videos_', 0.26289704), ('RoadAccidents', 0.1837317), ('Vandalism', 0.17103738), ('Explosion', 0.16642924), ('Burglary', 0.16052398), ('Assault', 0.1478925), ('Shooting', 0.14235833), ('Arrest', 0.13347208), ('Robbery', 0.1327417), ('Shoplifting', 0.12684111), ('Stealing', 0.112035826), ('Abuse', 0.11087186), ('Arson', 0.107963346), ('Fighting', 0.10390805)]
Normal_Videos_050_x264: [('RoadAccidents', 0.4003836), ('Shoplifting', 0.20167589), ('Shooting', 0.15753895), ('Arrest', 0.15416297), ('Fighting', 0.15326795), ('Stealing', 0.153032), ('Robbery', 0.1529677), ('Burglary', 0.15230982), ('Vandalism', 0.111834824), ('Explosion', 0.10993935), ('Abuse', 0.10726607), ('Arson', 0.10657148), ('Assault', 0.07735139), ('Normal_Videos_', 0.06847079)]
